tiempo,freq
07:00:00,1885
16:00:00,4029
05:00:00,129
05:10:00,154
15:00:00,3556
15:10:00,3594
17:30:00,4332
17:40:00,4685
17:50:00,2769
11:20:00,3814
11:30:00,2992
07:20:00,2837
08:10:00,4140
08:20:00,5670
09:40:00,2986
09:50:00,1929
10:00:00,3445
10:20:00,3953
10:30:00,3174
10:40:00,3571
13:10:00,3466
13:20:00,3767
13:40:00,2992
13:50:00,1748
14:20:00,3622
14:30:00,2810
17:10:00,5516
17:20:00,5954
19:20:00,2462
19:30:00,1840
19:40:00,1687
20:40:00,1117
21:00:00,923
14:00:00,3175
14:10:00,3408
08:30:00,4432
08:40:00,5018
08:50:00,2642
09:00:00,3540
09:10:00,3299
09:20:00,3492
09:30:00,2595
10:50:00,2280
11:00:00,3719
11:10:00,3567
11:40:00,3461
11:50:00,2151
12:00:00,3634
12:10:00,3479
12:20:00,3961
12:30:00,3030
12:40:00,3552
12:50:00,2010
13:00:00,3415
13:30:00,2816
10:10:00,3385
07:10:00,2116
07:30:00,2465
16:10:00,4364
16:20:00,4581
16:30:00,3573
18:30:00,2846
18:40:00,2795
15:30:00,3360
15:40:00,3761
19:50:00,883
20:00:00,1502
20:10:00,1465
20:20:00,1489
20:30:00,1110
20:50:00,501
06:40:00,1315
06:50:00,1094
16:40:00,4147
16:50:00,2786
17:00:00,5230
18:00:00,4126
18:10:00,3873
18:20:00,3820
08:00:00,4134
06:00:00,642
06:10:00,699
06:20:00,941
18:50:00,1562
19:00:00,2729
21:30:00,764
21:40:00,788
15:20:00,4195
04:40:00,61
04:50:00,64
14:40:00,3342
14:50:00,2050
07:40:00,3136
07:50:00,2423
05:50:00,404
22:30:00,669
22:40:00,563
22:50:00,276
23:00:00,381
15:50:00,2301
21:50:00,414
22:00:00,869
22:10:00,925
22:20:00,950
19:10:00,2501
06:30:00,911
04:00:00,30
04:10:00,43
04:20:00,64
04:30:00,65
05:30:00,376
05:40:00,589
21:10:00,981
21:20:00,1101
05:20:00,265
23:10:00,411
23:20:00,358
23:30:00,238
23:40:00,168
03:40:00,14
03:50:00,19
23:50:00,45
00:00:00,11
03:00:00,17
03:10:00,14
03:20:00,11
03:30:00,14
02:40:00,11
02:50:00,15
02:00:00,23
02:10:00,23
02:20:00,22
02:30:00,19
01:30:00,13
01:40:00,33
00:10:00,9
00:20:00,1
01:00:00,6
01:10:00,5
01:50:00,9
