tiempo,freq
09:30:00,1104
09:40:00,1364
07:20:00,1279
07:30:00,1111
07:40:00,1422
07:50:00,1167
08:00:00,1972
08:10:00,1938
08:20:00,2611
16:30:00,1448
16:40:00,1631
16:50:00,1113
17:00:00,2170
17:10:00,2383
17:20:00,2653
09:20:00,1479
10:00:00,1347
10:10:00,1344
17:30:00,1953
17:40:00,2110
11:30:00,1179
11:40:00,1287
11:50:00,821
12:00:00,1446
12:10:00,1436
12:20:00,1542
18:30:00,1207
18:40:00,1136
18:50:00,708
08:40:00,2208
08:50:00,1085
09:00:00,1514
17:50:00,1190
19:20:00,1097
19:30:00,720
19:40:00,667
12:40:00,1397
12:50:00,719
13:00:00,1163
13:30:00,1129
13:40:00,1255
13:50:00,686
08:30:00,1964
09:10:00,1461
18:00:00,1829
13:20:00,1492
22:20:00,434
22:30:00,307
22:40:00,283
18:10:00,1728
18:20:00,1630
07:00:00,795
16:20:00,1937
12:30:00,1196
15:00:00,1401
15:10:00,1475
15:20:00,1699
15:30:00,1304
15:40:00,1430
19:00:00,1207
19:10:00,1144
15:50:00,923
16:00:00,1750
16:10:00,1847
19:50:00,356
20:00:00,543
07:10:00,927
10:20:00,1713
10:30:00,1337
14:00:00,1261
14:40:00,1263
14:50:00,738
13:10:00,1272
11:00:00,1552
11:10:00,1488
11:20:00,1504
22:50:00,142
23:00:00,181
23:10:00,197
23:20:00,184
20:30:00,345
20:40:00,345
20:50:00,179
21:00:00,324
21:10:00,367
21:20:00,475
21:30:00,351
21:40:00,281
14:30:00,1108
14:10:00,1324
14:20:00,1388
06:00:00,261
06:10:00,286
06:20:00,376
06:30:00,382
06:40:00,569
06:50:00,474
09:50:00,766
10:40:00,1487
20:20:00,394
10:50:00,875
22:00:00,415
22:10:00,401
20:10:00,460
21:50:00,174
05:30:00,137
05:40:00,244
05:50:00,177
23:30:00,126
23:40:00,85
04:20:00,18
04:30:00,28
05:00:00,54
05:10:00,60
05:20:00,135
04:40:00,29
04:50:00,18
23:50:00,12
02:40:00,3
02:50:00,6
04:00:00,12
04:10:00,14
00:00:00,7
01:30:00,8
01:40:00,22
01:50:00,9
02:00:00,11
02:10:00,5
00:10:00,9
00:20:00,1
