tiempo,freq
10:00:00,3072
10:30:00,2896
10:40:00,3276
11:30:00,2770
11:40:00,3174
15:30:00,2975
15:40:00,3404
16:00:00,3705
16:10:00,4008
16:20:00,4287
08:10:00,3998
08:20:00,5483
08:30:00,4177
08:40:00,4701
17:00:00,4845
17:10:00,5142
17:20:00,5549
17:30:00,4073
17:40:00,4457
17:50:00,2585
07:20:00,2732
07:30:00,2342
07:40:00,2971
08:00:00,3954
09:30:00,2327
09:40:00,2641
11:20:00,3552
12:40:00,3219
12:50:00,1767
13:00:00,3086
07:50:00,2298
16:30:00,3296
16:40:00,3812
16:50:00,2589
09:20:00,3171
10:10:00,3077
08:50:00,2428
09:00:00,3235
09:10:00,3039
11:50:00,1909
12:00:00,3332
12:10:00,3225
12:20:00,3634
18:30:00,2641
18:40:00,2633
18:50:00,1471
19:20:00,2325
19:30:00,1631
19:40:00,1482
13:10:00,3249
13:20:00,3469
14:30:00,2566
14:40:00,3065
14:50:00,1837
15:00:00,3244
15:10:00,3336
04:10:00,34
04:20:00,53
04:30:00,56
19:00:00,2605
19:10:00,2369
13:30:00,2601
13:40:00,2751
13:50:00,1592
18:00:00,3885
21:00:00,852
21:10:00,910
21:20:00,1043
10:20:00,3628
14:00:00,2947
14:10:00,3179
14:20:00,3345
11:00:00,3476
11:10:00,3362
22:20:00,886
22:30:00,649
22:40:00,552
06:30:00,879
06:40:00,1281
18:10:00,3682
18:20:00,3525
07:00:00,1793
07:10:00,2020
20:40:00,994
20:50:00,458
15:20:00,3819
15:50:00,2105
12:30:00,2779
19:50:00,772
20:00:00,1351
20:10:00,1351
20:20:00,1379
20:30:00,993
09:50:00,1717
10:50:00,2066
22:50:00,271
22:00:00,816
22:10:00,868
05:20:00,253
05:30:00,347
05:40:00,552
05:50:00,390
06:00:00,607
06:10:00,663
06:20:00,901
21:30:00,718
23:00:00,369
23:10:00,393
23:20:00,340
21:50:00,381
21:40:00,711
06:50:00,1044
02:40:00,11
02:50:00,15
03:00:00,17
03:10:00,14
05:00:00,122
05:10:00,140
23:40:00,162
23:50:00,45
00:00:00,11
23:30:00,222
04:40:00,49
04:50:00,50
03:40:00,14
03:50:00,19
03:20:00,11
03:30:00,14
04:00:00,24
02:00:00,23
02:10:00,23
02:20:00,22
02:30:00,19
01:30:00,13
01:40:00,33
01:50:00,9
01:00:00,6
01:10:00,5
00:10:00,9
00:20:00,1
