valorObjetivoLento,valorObjetivoRapido,porcentajeRed,Grupo,Tipo
124.0688,125.0977987,38.60606157,100,Lenta
128.9610995,129.7072982,32.51643147,100,Lenta
130.7022,131.8645,33.51753465,100,Lenta
124.8401,125.9304961,26.46203998,100,Lenta
124.3448991,125.4783973,36.42277999,100,Lenta
121.6102,122.8399459,41.03416241,100,Lenta
119.4284,120.5335987,41.72527316,100,Lenta
112.4162982,113.771053,38.06141707,100,Lenta
115.2561999,116.5622985,40.02208532,100,Lenta
119.9474,121.6884947,46.77288948,100,Lenta
127.9193,129.1006866,43.39107546,100,Lenta
122.4399,123.6418984,40.00441,100,Lenta
129.9016,131.1856973,36.59290904,100,Lenta
120.6416992,121.9091946,33.14975307,100,Lenta
125.4421,126.7634998,34.29505865,100,Lenta
121.5516,122.8595974,40.83764613,100,Lenta
116.938,118.1309965,44.27485063,100,Lenta
119.8735,120.878795,40.79490654,100,Lenta
125.1394,126.5613998,36.97389647,100,Lenta
126.4904,127.6588992,36.15910057,100,Lenta
120.0067,120.9459986,33.01993997,100,Lenta
130.9847,132.0583,40.04837883,100,Lenta
121.7342,122.7955992,36.56204516,100,Lenta
124.2855,125.3581,40.53237154,100,Lenta
122.5974,123.8859932,30.95251505,100,Lenta
120.1971,121.2290817,42.2670296,100,Lenta
126.7627,128.1281995,37.43305267,100,Lenta
122.4428,123.9588887,36.22611399,100,Lenta
126.6111996,127.9866991,32.19506834,100,Lenta
129.1086,130.045,42.54595684,100,Lenta
128.0655,129.0829969,33.87348619,100,Lenta
126.51,127.6631805,32.03323822,100,Lenta
121.9613,122.9463994,32.59672814,100,Lenta
129.7240994,130.907999,36.68900632,100,Lenta
121.4351,122.5102468,38.41980382,100,Lenta
126.3361,127.3449992,38.29657339,100,Lenta
131.4756,132.5431978,38.10521618,100,Lenta
123.5424,125.0792974,40.04466717,100,Lenta
132.5111,133.3817979,36.37187786,100,Lenta
122.7273,123.7178935,46.72910461,100,Lenta
124.3079,125.7033982,40.58266395,100,Lenta
118.0082,118.9248937,35.95094835,100,Lenta
